AS Lab # ,Spec or Tag #,Site,Unit/Project,Provenience/Location A,Provenience/Location B,Phase,Genus,Species,Element,Side,δ13C apatite-VPDB (‰),δ18O apatite-VSMOW (‰),C/P,IR-SF,Notes
AS-0842,27541.005,Puerta 5,Cueva III,N1 W1,4,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Mandible,R+L,,,0.15,3.61,Mandible (L y R) de Sylvilagus cunicularius
AS-0178,43036.001,Teopancazco,TEOPAN 2000-2,E1 C158 R1,N466 E94,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Mandible,L,-7.7,27.0,0.22,2.93,
AS-0179,58208.001,Teopancazco,TEOPAN 2002,E1 C258C R1 Bajo Ap.2,N463 E95,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Humerus,R,-7.0,29.6,0.40,2.61,
AS-0180,3126.001,Teopancazco,TEOPAN 1997,E1 C17 AA6 R1 P3,N436 E82,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,L,-8.3,28.6,0.40,2.58,
AS-0181,55878.002,Teopancazco,TEOPAN 2002,E1 C258C AA103 R1,N462 E93,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Mandible,L,-6.1,26.1,0.42,2.97,
AS-0182,35127.001,Teopancazco,TEOPAN 2000-1,E1 C251 R1,N464 E116,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Pelvis,R,-5.8,28.4,0.46,2.64,
AS-0183,66717.001,Teopancazco,TEOPAN 2004,E1 C251A AA154 R1/A65,N462 E119,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Mandible,L,-6.2,23.7,0.29,2.60,
AS-0184,7786.001,Teopancazco,TEOPAN 1998-1,E1 C24 R1 Bajo Ap.6,N438 E87,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Mandible,R,-6.3,25.7,,,
AS-0185,55935.001,Teopancazco,TEOPAN 2002,E1 C258C AA103 R2,N463 E94,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Pelvis,R,-6.4,28.6,,,
AS-0186,14206.001,Teopancazco,TEOPAN 1999-1,E1 C237B R1 Bajo Ap.12,N446 E82,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Tibia,L,-7.3,27.4,,,
AS-0187,51541.001,Teopancazco,TEOPAN 2001-2,E1 C213A R3,N452 E116,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Humerus,L,-6.1,29.3,,,
AS-0843,43320.001,Teopancazco,TEOPAN 2000-2,E1 C158 R2,N463 E94,Tlamimilolpa - Xolalpan,Sylvilagus ,floridanus,Femur,L,-5.3,28.1,0.23,3.95,
